index_No,メーカー,シリーズ,車名,限定・専売モデル,品番,発売日,年度(表記無しの対応は0000),単一商品フラグ,正規表現名,フレームサイズ,タイヤサイズ,単一タイヤサイズ,タイヤサイズ詳細,色,正規表現色,メーカー希望小売価格（税抜）,ボルト,アンペア,車両重量,エコ(弱)モード走行距離,標準(オート)モード,強モード,変速,最低適応身長（目安）,幼児2人同時適応身長,サドル高さ（最低）,リヤキャリア,低床フレーム,前輪駆動,登録日
448,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2018,,/AL7B48/ius,,27,1,27×1-3/8WO,T.ネオンライム,/T.ネオンライム/ius,,36.5,9.9,26.5,77,57,41,内装5段,148,,795,クラス27取付可,,前輪駆動,20181231
449,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL6B49/ius,,26,1,26×1-3/8WO,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,137800,36.5,9.9,25.9,80,63,47,内装3段,144,,765,クラス27取付可,,前輪駆動,20181217
450,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL6B49/ius,,26,1,26×1-3/8WO,T.アンバーブラック,/T.アンバーブラック/ius,137800,36.5,9.9,25.9,80,63,47,内装3段,144,,765,クラス27取付可,,前輪駆動,20181217
451,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL6B49/ius,,26,1,26×1-3/8WO,T.ネオンライム,/T.ネオンライム/ius,137800,36.5,9.9,25.9,80,63,47,内装3段,144,,765,クラス27取付可,,前輪駆動,20181217
452,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL6B49/ius,,26,1,26×1-3/8WO,P.Xシャンパンホワイト,/P.Xシャンパンホワイト/ius,137800,36.5,9.9,25.9,80,63,47,内装3段,144,,765,クラス27取付可,,前輪駆動,20181217
453,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL6B49/ius,,26,1,26×1-3/8WO,M.ジュエルDブルー,/M.ジュエルDブルー/ius,137800,36.5,9.9,25.9,80,63,47,内装3段,144,,765,クラス27取付可,,前輪駆動,20181217
454,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL7B49/ius,,27,1,27×1-3/8WO,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,139800,36.5,9.9,26.7,77,57,41,内装5段,148,,795,クラス27取付可,,前輪駆動,20181217
455,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL7B49/ius,,27,1,27×1-3/8WO,T.アンバーブラック,/T.アンバーブラック/ius,139800,36.5,9.9,26.7,77,57,41,内装5段,148,,795,クラス27取付可,,前輪駆動,20181217
456,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL7B49/ius,,27,1,27×1-3/8WO,T.ネオンライム,/T.ネオンライム/ius,139800,36.5,9.9,26.7,77,57,41,内装5段,148,,795,クラス27取付可,,前輪駆動,20181217
457,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL7B49/ius,,27,1,27×1-3/8WO,P.Xシャンパンホワイト,/P.Xシャンパンホワイト/ius,139800,36.5,9.9,26.7,77,57,41,内装5段,148,,795,クラス27取付可,,前輪駆動,20181217
458,ブリヂストン,アルベルト e,アルベルト e B400 L型,,,,2019,,/AL7B49/ius,,27,1,27×1-3/8WO,M.ジュエルDブルー,/M.ジュエルDブルー/ius,139800,36.5,9.9,26.7,77,57,41,内装5段,148,,795,クラス27取付可,,前輪駆動,20181217
459,ブリヂストン,アルベルト e,アルベルト e,,,,2016,,/AES726/ius,,27,1,27×1-3/8,T.アンバーブラック,/T.アンバーブラック/ius,,36.5,6.2,26.3,48,36,26,内装5段,148,,,クラス27取付可,,前輪駆動,20181231
460,ブリヂストン,アシスタ,アシスタユニプレミア,,A2PC38,,2018,1,/アシスタ[\\s・]?ユニ[\\s・]?プレミア/ius,,20,,20×1.75,M.Xフラッシュパープル,/M.Xフラッシュパープル/ius,112800,25.5,12.3,21.9,72,,49,内装3段,128,,670,標準装備,低床,,20181217
461,ブリヂストン,アシスタ,アシスタユニプレミア,,A2PC38,,2018,1,/アシスタ[\\s・]?ユニ[\\s・]?プレミア/ius,,20,,20×1.75,P.Xシーシェルアイボリー,/(シーシェルアイボリー|シーシュルアイボリー)/ius,112800,25.5,12.3,21.9,72,,49,内装3段,128,,670,標準装備,低床,,20181217
462,ブリヂストン,アシスタ,アシスタユニプレミア,,A2PC38,,2018,1,/アシスタ[\\s・]?ユニ[\\s・]?プレミア/ius,,20,,20×1.75,M.Xピンクゴールド,/M.Xピンクゴールド/ius,112800,25.5,12.3,21.9,72,,49,内装3段,128,,670,標準装備,低床,,20181217
463,ブリヂストン,アシスタ,アシスタユニプレミア,,A2PC38,,2018,1,/アシスタ[\\s・]?ユニ[\\s・]?プレミア/ius,,20,,20×1.75,P.Xオパールミント ,/P.Xオパールミント /ius,112800,25.5,12.3,21.9,72,,49,内装3段,128,,670,標準装備,低床,,20181217
464,ブリヂストン,アシスタ,アシスタユニプレミア,,A4PC38,,2018,1,/アシスタ[\\s・]?ユニ[\\s・]?プレミア/ius,,24,,24×1.75,P.Xトラッドオリーブ,/P.Xトラッドオリーブ/ius,113800,25.5,12.3,24.3,72,,49,内装3段,131,,685,標準装備,低床,,20181217
465,ブリヂストン,アシスタ,アシスタユニプレミア,,A4PC38,,2018,1,/アシスタ[\\s・]?ユニ[\\s・]?プレミア/ius,,24,,24×1.75,F.Xガーネットオレンジ,/F.Xガーネットオレンジ/ius,113800,25.5,12.3,24.3,72,,49,内装3段,131,,685,標準装備,低床,,20181217
466,ブリヂストン,アシスタ,アシスタユニプレミア,,A4PC38,,2018,1,/アシスタ[\\s・]?ユニ[\\s・]?プレミア/ius,,24,,24×1.75,P.Xサファイヤブルー ,/P.Xサファイヤブルー /ius,113800,25.5,12.3,24.3,72,,49,内装3段,131,,685,標準装備,低床,,20181217
467,ブリヂストン,アシスタ,アシスタユニ,,,,2018,1,/アシスタ[\\s・]?ユニ/ius,,20,,20×1.75,T.Xクロツヤケシ,/T.Xクロツヤケシ/ius,107800,25.5,12.3,20.7,69,59,51,内装3段,129,,675,装着可能,低床,,20181217
468,ブリヂストン,アシスタ,アシスタユニ,,,,2018,1,/アシスタ[\\s・]?ユニ/ius,,20,,20×1.75,T.Xグレイッシュミント,/T.Xグレイッシュミント/ius,107800,25.5,12.3,20.7,69,59,51,内装3段,129,,675,装着可能,低床,,20181217
469,ブリヂストン,アシスタ,アシスタユニ,,,,2018,1,/アシスタ[\\s・]?ユニ/ius,,20,,20×1.75,T.Xアンバーオレンジ,/T.Xアンバーオレンジ/ius,107800,25.5,12.3,20.7,69,59,51,内装3段,129,,675,装着可能,低床,,20181217
470,ブリヂストン,アシスタ,アシスタユニ,,,,2018,1,/アシスタ[\\s・]?ユニ/ius,,24,,24×1.75,T.Xクロツヤケシ,/T.Xクロツヤケシ/ius,108800,25.5,12.3,22.4,65,57,47,内装3段,131,,685,装着可能,低床,,20181217
471,ブリヂストン,アシスタ,アシスタユニ,,,,2018,1,/アシスタ[\\s・]?ユニ/ius,,24,,24×1.75,T.XHカーキ,/T.XHカーキ/ius,108800,25.5,12.3,22.4,65,57,47,内装3段,131,,685,装着可能,低床,,20181217
472,ブリヂストン,アシスタ,アシスタユニ,,,,2018,1,/アシスタ[\\s・]?ユニ/ius,,24,,24×1.75,T.Xマットブルーグレー ,/T.Xマットブルーグレー /ius,108800,25.5,12.3,22.4,65,57,47,内装3段,131,,685,装着可能,低床,,20181217
473,ブリヂストン,アシスタ,アシスタベーシックミニ,,,,2018,,/アシスタベーシックミニ/ius,,20/18,1,20×1.95/18×2.125,T.Xクロツヤケシ,/T.Xクロツヤケシ/ius,オープン,25.2,6.6,26.7,56,34,31,内装3段,144,,765,標準装備,低床,,20190104
474,ブリヂストン,アシスタ,アシスタベーシックミニ,,,,2018,,/アシスタベーシックミニ/ius,,20/18,1,20×1.95/18×2.125,T.Xサンドベージュ,/T.Xサンドベージュ/ius,オープン,25.2,6.6,26.7,56,34,31,内装3段,144,,765,標準装備,低床,,20190104
475,ブリヂストン,アシスタ,アシスタベーシックミニ,,,,2018,,/アシスタベーシックミニ/ius,,20/18,1,20×1.95/18×2.125,E.Xチェリーピンク,/E.Xチェリーピンク/ius,オープン,25.2,6.6,26.7,56,34,31,内装3段,144,,765,標準装備,低床,,20190104
476,ブリヂストン,アシスタ,アシスタベーシックミニ,,,,2018,,/アシスタベーシックミニ/ius,,20/18,1,20×1.95/18×2.125,E.Xティールブルー,/E.Xティールブルー/ius,オープン,25.2,6.6,26.7,56,34,31,内装3段,144,,765,標準装備,低床,,20190104
477,ブリヂストン,アシスタ,アシスタプリマ,,,,2018,,/アシスタ[\\s・]?プリマ/ius,,26,1,26×1-3/8,T.Xクロツヤケシ ,/T.Xクロツヤケシ /ius,オープン,25.5,6.2,26.1,38,26,22,内装3段,139,,750,クラス27標準装備,,,20181217
478,ブリヂストン,アシスタ,アシスタプリマ,,,,2018,,/アシスタ[\\s・]?プリマ/ius,,26,1,26×1-3/8,E.Xダークオリーブ,/E.Xダークオリーブ/ius,オープン,25.5,6.2,26.1,38,26,22,内装3段,139,,750,クラス27標準装備,,,20181217
479,ブリヂストン,アシスタ,アシスタプリマ,,,,2018,,/アシスタ[\\s・]?プリマ/ius,,26,1,26×1-3/8,E.Xミルクティーベージュ,/E.Xミルクティーベージュ/ius,オープン,25.5,6.2,26.1,38,26,22,内装3段,139,,750,クラス27標準装備,,,20181217
480,ブリヂストン,アシスタ,アシスタプリマ,,,,2018,,/アシスタ[\\s・]?プリマ/ius,,26,1,26×1-3/8,E.Xグレイッシュミント,/E.Xグレイッシュミント/ius,オープン,25.5,6.2,26.1,38,26,22,内装3段,139,,750,クラス27標準装備,,,20181217
481,ブリヂストン,アシスタ,アシスタプリマ,,,,2018,,/アシスタ[\\s・]?プリマ/ius,,26,1,26×1-3/8,E.Xグレイッシュピンク,/E.Xグレイッシュピンク/ius,オープン,25.5,6.2,26.1,38,26,22,内装3段,139,,750,クラス27標準装備,,,20181217
482,ブリヂストン,アシスタ,アシスタファインミニ,,,,2018,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,T.Xクロツヤケシ,/T.Xクロツヤケシ/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
483,ブリヂストン,アシスタ,アシスタファインミニ,,,,2018,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,T.Xサンドベージュ,/T.Xサンドベージュ/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
484,ブリヂストン,アシスタ,アシスタファインミニ,,,,2018,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,E.Xチェリーピンク,/E.Xチェリーピンク/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
485,ブリヂストン,アシスタ,アシスタファインミニ,,,,2018,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,E.Xティールブルー,/E.Xティールブルー/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
486,ブリヂストン,アシスタ,アシスタファインミニ,,,,2019,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,T.Xクロツヤケシ,/T.Xクロツヤケシ/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
487,ブリヂストン,アシスタ,アシスタファインミニ,,,,2019,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,T.Xサンドベージュ,/T.Xサンドベージュ/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
488,ブリヂストン,アシスタ,アシスタファインミニ,,,,2019,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,E.Xチェリーピンク,/E.Xチェリーピンク/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
489,ブリヂストン,アシスタ,アシスタファインミニ,,,,2019,,/アシスタ[\\s・]?ファイン[\\s・]?ミニ/ius,,20/18,1,20×1.95/18×2.125,E.Xティールブルー,/E.Xティールブルー/ius,オープン,25.5,6.2,26.5,37,24,21,内装3段,139,,735,標準装備,低床,,20181217
490,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,24,,24×1-3/8,E.Xモダンブルー,/E.Xモダンブルー/ius,オープン,25.5,6.2,24.6,36,25,21,内装3段,135,,715,標準装備,低床,,20181217
491,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,24,,24×1-3/8,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,オープン,25.5,6.2,24.6,36,25,21,内装3段,135,,715,標準装備,低床,,20181217
492,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,24,,24×1-3/8,F.Xカラメルブラウン,/F.Xカラメルブラウン/ius,オープン,25.5,6.2,24.6,36,25,21,内装3段,135,,715,標準装備,低床,,20181217
493,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,24,,24×1-3/8,E.Xマリノブルー ,/E.Xマリノブルー /ius,オープン,25.5,6.2,24.6,36,25,21,内装3段,135,,715,標準装備,低床,,20181217
494,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,24,,24×1-3/8,E.Xフラミンゴオレンジ ,/E.Xフラミンゴオレンジ /ius,オープン,25.5,6.2,24.6,36,25,21,内装3段,135,,715,標準装備,低床,,20181217
495,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,24,,24×1-3/8,E.Xナチュラルオリーブ,/E.Xナチュラルオリーブ/ius,オープン,25.5,6.2,24.6,36,25,21,内装3段,135,,715,標準装備,低床,,20181217
496,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,26,,26×1-3/8,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,オープン,25.5,6.2,25.2,36,25,21,内装3段,139,,735,標準装備,低床,,20181217
497,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,26,,26×1-3/8,F.Xカラメルブラウン,/F.Xカラメルブラウン/ius,オープン,25.5,6.2,25.2,36,25,21,内装3段,139,,735,標準装備,低床,,20181217
498,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,26,,26×1-3/8,E.Xマリノブルー ,/E.Xマリノブルー /ius,オープン,25.5,6.2,25.2,36,25,21,内装3段,139,,735,標準装備,低床,,20181217
499,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,26,,26×1-3/8,E.Xフラミンゴオレンジ ,/E.Xフラミンゴオレンジ /ius,オープン,25.5,6.2,25.2,36,25,21,内装3段,139,,735,標準装備,低床,,20181217
500,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,26,,26×1-3/8,E.Xナチュラルオリーブ,/E.Xナチュラルオリーブ/ius,オープン,25.5,6.2,25.2,36,25,21,内装3段,139,,735,標準装備,低床,,20181217
501,ブリヂストン,アシスタ,アシスタファイン,,,,2018,,/アシスタ[\\s・]?ファイン/ius,,26,,26×1-3/8,E.Xモダンブルー,/E.Xモダンブルー/ius,オープン,25.5,6.2,25.2,36,25,21,内装3段,139,,735,標準装備,低床,,20181217
502,ブリヂストン,アシスタ,アシスタビジネス U型,,,,2017,,/アシスタ[\\s・]?ビジネス[\\s・]?U型/ius,,26,1,26×1-1/2,M.ファインシルバー,/M.ファインシルバー/ius,164800,25.5,15.4,35.7,71,61,51,内装3段,139,,740,積載重量30kg標準装備,,,20190102
503,ブリヂストン,アシスタ,アシスタビジネス S型,,,,2017,,/アシスタ[\\s・]?ビジネス[\\s・]?S型/ius,,26,1,26×1-1/2,M.ファインシルバー,/M.ファインシルバー/ius,164800,25.5,15.4,35.2,71,61,51,内装3段,139,,740,積載重量30kg標準装備,,,20190102
504,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,114800,25.5,12.3,25.5,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20190103
505,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,F.Xカラメルブラウン,/F.Xカラメルブラウン/ius,114800,25.5,12.3,25.5,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20190103
506,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,T.Xサンドベージュ,/T.Xサンドベージュ/ius,114800,25.5,12.3,25.5,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20190103
507,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,P.Xティーングリーン,/P.Xティーングリーン/ius,114800,25.5,12.3,25.5,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20190103
508,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,E.Xディープピンク,/E.Xディープピンク/ius,114800,25.5,12.3,25.5,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20190103
509,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,114800,25.5,12.3,26.1,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20190103
510,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,F.Xカラメルブラウン,/F.Xカラメルブラウン/ius,114800,25.5,12.3,26.1,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20190103
511,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,T.Xサンドベージュ,/T.Xサンドベージュ/ius,114800,25.5,12.3,26.1,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20190103
512,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,P.Xティーングリーン,/P.Xティーングリーン/ius,114800,25.5,12.3,26.1,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20190103
513,ブリヂストン,アシスタ,アシスタデラックス,,,,2018,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,E.Xディープピンク,/E.Xディープピンク/ius,114800,25.5,12.3,26.1,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20190103
514,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,114800,25.5,12.3,25.3,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20181217
515,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,F.Xカラメルブラウン,/F.Xカラメルブラウン/ius,114800,25.5,12.3,25.3,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20181217
516,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,P.Xオパールミント ,/P.Xオパールミント /ius,114800,25.5,12.3,25.3,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20181217
517,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,24,,24×1-1/2,E.Xディープピンク,/E.Xディープピンク/ius,114800,25.5,12.3,25.3,80,56,45,内装3段,136,,720,クラス27標準装備,低床,,20181217
518,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,M.XHスパークルシルバー,/M.XHスパークルシルバー/ius,114800,25.5,12.3,25.9,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20181217
519,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,F.Xカラメルブラウン,/F.Xカラメルブラウン/ius,114800,25.5,12.3,25.9,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20181217
520,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,P.Xオパールミント ,/P.Xオパールミント /ius,114800,25.5,12.3,25.9,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20181217
521,ブリヂストン,アシスタ,アシスタデラックス,,,,2019,,/アシスタ[\\s・]?(デラックス|DX)/ius,,26,,26×1-1/2,E.Xディープピンク,/E.Xディープピンク/ius,114800,25.5,12.3,25.9,80,56,45,内装3段,139,,740,クラス27標準装備,低床,,20181217
522,ブリヂストン,,リアルストリーム ミニ,,,,2019,,/リアルストリーム[\\s・]?ミニ/ius,,20,1,20×1-3/8,T.クロツヤケシ,/T.クロツヤケシ/ius,114800,25.5,12.3,21.6,83,65,51,内装3段,144,,765,取付可,,,20181217
523,ブリヂストン,,リアルストリーム ミニ,,,,2019,,/リアルストリーム[\\s・]?ミニ/ius,,20,1,20×1-3/8,T.レトログレージュ,/T.レトログレージュ/ius,114800,25.5,12.3,21.6,83,65,51,内装3段,144,,765,取付可,,,20181217
524,ブリヂストン,,リアルストリーム ミニ,,,,2019,,/リアルストリーム[\\s・]?ミニ/ius,,20,1,20×1-3/8,E.ストーンブルー,/E.ストーンブルー/ius,114800,25.5,12.3,21.6,83,65,51,内装3段,144,,765,取付可,,,20181217
525,ブリヂストン,,リアルストリーム,,RS6C48,,2018,,/(リアルストリーム|RealStream)/ius,,26,1,26×1.5,T.クロツヤケシ,/T.クロツヤケシ/ius,155800,25.5,15.4,22.5,90,71,60,内装8段,148,,795,取付可,,,20181217
526,ブリヂストン,,リアルストリーム,,RS6C48,,2018,,/(リアルストリーム|RealStream)/ius,,26,1,26×1.5,T.スノーシルバー,/T.スノーシルバー/ius,155800,25.5,15.4,22.5,90,71,60,内装8段,148,,795,取付可,,,20181217
527,ブリヂストン,,リアルストリーム,,RS6C48,,2018,,/(リアルストリーム|RealStream)/ius,,26,1,26×1.5,E.ソリッドオレンジ,/E.ソリッドオレンジ/ius,155800,25.5,15.4,22.5,90,71,60,内装8段,148,,795,取付可,,,20181217
528,ブリヂストン,,フロンティアラクットワゴン,,,,2019,,/フロンティア[\\s・]?ラクット[\\s・]?ワゴン/ius,,20/16,1,20×1.75/16×1.75,T.Xルビーレッド,/T.Xルビーレッド/ius,195800,36.5,14.3,28.3,70,,51,内装3段,128,,670,,,,20190103
529,ブリヂストン,,フロンティアラクットワゴン,,,,2019,,/フロンティア[\\s・]?ラクット[\\s・]?ワゴン/ius,,20/16,1,20×1.75/16×1.75,T.Xサファイヤブルー,/T.Xサファイヤブルー/ius,195800,36.5,14.3,28.3,70,,51,内装3段,128,,670,,,,20190103
530,ブリヂストン,,フロンティアラクットワゴン,,,,2019,,/フロンティア[\\s・]?ラクット[\\s・]?ワゴン/ius,,20/16,1,20×1.75/16×1.75,P.Xミスティミント,/P.Xミスティミント/ius,195800,36.5,14.3,28.3,70,,51,内装3段,128,,670,,,,20190103
531,ブリヂストン,,ハイディ ツー2019年限定モデル,2019年限定,,,2019,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II).*限定/ius,,26,1,26×2.0,T.Xクロツヤケシ,/T.Xクロツヤケシ/ius,157800,36.5,9.9,31.6,88,62,41,内装3段,148,160,760,クラス27標準装備,,前輪駆動,20181217
532,ブリヂストン,,ハイディ ツー2018年限定モデル,2018年限定,,,2019,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II).*限定/ius,,26,1,26×1.95,T.XHグレー,/T.XHグレー/ius,,25.5,12.3,30.3,62,54,44,内装3段,147,159,760,クラス27標準装備,,,20180102
533,ブリヂストン,,ハイディ ツー,,,,2016,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,F.Xアクティブレッド,/F.Xアクティブレッド/ius,,25.5,8.7,29.9,44,38,31,内装3段,145,157,745,クラス27標準装備,,,20181231
534,ブリヂストン,,ハイディ ツー,,,,2018,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,T.XHネイビー,/T.XHネイビー/ius,,25.5,12.3,29.9,62,65,44,内装3段,145,157,745,クラス27標準装備,,,20190102
535,ブリヂストン,,ハイディ ツー,,,,2018,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,T.XHカーキ,/T.XHカーキ/ius,,25.5,12.3,29.9,62,65,44,内装3段,145,157,745,クラス27標準装備,,,20190102
536,ブリヂストン,,ハイディ ツー,,,,2018,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,E.Xホワイト,/E.Xホワイト/ius,,25.5,12.3,29.9,62,65,44,内装3段,145,157,745,クラス27標準装備,,,20190102
537,ブリヂストン,,ハイディ ツー,,,,2018,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,F.Xアクティブレッド,/F.Xアクティブレッド/ius,,25.5,12.3,29.9,62,65,44,内装3段,145,157,745,クラス27標準装備,,,20190102
538,ブリヂストン,,ハイディ ツー,,,,2019,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,T.Xクロツヤケシ,/T.Xクロツヤケシ/ius,154800,36.5,9.9,30.9,88,62,41,内装3段,145,157,745,クラス27標準装備,,前輪駆動,20181217
539,ブリヂストン,,ハイディ ツー,,,,2019,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,E.Xホワイト,/E.Xホワイト/ius,154800,36.5,9.9,30.9,88,62,41,内装3段,145,157,745,クラス27標準装備,,前輪駆動,20181217
540,ブリヂストン,,ハイディ ツー,,,,2019,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,F.Xアクティブレッド,/F.Xアクティブレッド/ius,154800,36.5,9.9,30.9,88,62,41,内装3段,145,157,745,クラス27標準装備,,前輪駆動,20181217
541,ブリヂストン,,ハイディ ツー,,,,2019,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,T.XHネイビー,/T.XHネイビー/ius,154800,36.5,9.9,30.9,88,62,41,内装3段,145,157,745,クラス27標準装備,,前輪駆動,20181217
542,ブリヂストン,,ハイディ ツー,,,,2019,,/(HYDEE|ハイディ)[\\s.ー]?(ツー|2|II)/ius,,26,1,26×1.95,XHカーキ,/XHカーキ/ius,154800,36.5,9.9,30.9,88,62,41,内装3段,145,157,745,クラス27標準装備,,前輪駆動,20181217
